id,recording_id,user_id,stage_type,status,failed,failed_at,failed_reason,retry_count,stage_meta,completed_at,created_at,updated_at,skip_reason,started_at
54,65,01KFHA268GJEDP4Z5C8Z3CBEQD,GENERATE_SUBTITLES,COMPLETED,f,,,0,{"files": {"srt": "storage/users/user_000001/recordings/65/transcriptions/cache/subtitles.srt", "vtt": "storage/users/user_000001/recordings/65/transcriptions/cache/subtitles.vtt"}, "formats": ["srt", "vtt"]},2026-01-27 11:46:25.126351+03,2026-01-27 11:46:25.12769+03,2026-01-27 11:46:25.127692+03,,
55,66,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/66/transcriptions"},2026-01-28 07:22:22.950187+03,2026-01-28 07:22:22.992063+03,2026-01-28 07:22:22.992067+03,,
56,66,01KFHA268GJEDP4Z5C8Z3CBEQD,EXTRACT_TOPICS,COMPLETED,f,,,0,{"model": "deepseek", "version_id": "v1", "granularity": "long"},2026-01-28 07:22:46.149983+03,2026-01-28 07:22:46.152317+03,2026-01-28 07:22:46.152318+03,,
57,66,01KFHA268GJEDP4Z5C8Z3CBEQD,GENERATE_SUBTITLES,COMPLETED,f,,,0,{"files": {"srt": "storage/users/user_000001/recordings/66/transcriptions/cache/subtitles.srt", "vtt": "storage/users/user_000001/recordings/66/transcriptions/cache/subtitles.vtt"}, "formats": ["srt", "vtt"]},2026-01-28 07:22:46.207868+03,2026-01-28 07:22:46.209097+03,2026-01-28 07:22:46.209098+03,,
58,69,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/69/transcriptions"},2026-01-28 07:26:01.708256+03,2026-01-28 07:26:01.798205+03,2026-01-28 07:26:01.79821+03,,
59,72,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/72/transcriptions"},2026-01-28 07:26:01.949142+03,2026-01-28 07:26:01.988888+03,2026-01-28 07:26:01.988889+03,,
60,69,01KFHA268GJEDP4Z5C8Z3CBEQD,EXTRACT_TOPICS,COMPLETED,f,,,0,{"model": "deepseek", "version_id": "v1", "granularity": "long"},2026-01-28 07:26:33.179783+03,2026-01-28 07:26:33.182753+03,2026-01-28 07:26:33.182755+03,,
37,15,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/15/transcriptions"},2026-01-24 13:03:54.365587+03,2026-01-24 13:03:54.422203+03,2026-01-24 13:03:54.422206+03,,
38,15,01KFHA268GJEDP4Z5C8Z3CBEQD,EXTRACT_TOPICS,COMPLETED,f,,,0,{"model": "deepseek", "version_id": "v1", "granularity": "long"},2026-01-24 13:04:15.727449+03,2026-01-24 13:04:15.730021+03,2026-01-24 13:04:15.730022+03,,
39,15,01KFHA268GJEDP4Z5C8Z3CBEQD,GENERATE_SUBTITLES,COMPLETED,f,,,0,{"files": {"srt": "storage/users/user_000001/recordings/15/transcriptions/cache/subtitles.srt", "vtt": "storage/users/user_000001/recordings/15/transcriptions/cache/subtitles.vtt"}, "formats": ["srt", "vtt"]},2026-01-24 13:04:15.800097+03,2026-01-24 13:04:15.801512+03,2026-01-24 13:04:15.801514+03,,
40,16,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/16/transcriptions"},2026-01-24 13:05:43.311085+03,2026-01-24 13:05:43.39975+03,2026-01-24 13:05:43.399754+03,,
41,16,01KFHA268GJEDP4Z5C8Z3CBEQD,EXTRACT_TOPICS,COMPLETED,f,,,0,{"model": "deepseek", "version_id": "v1", "granularity": "long"},2026-01-24 13:06:17.450232+03,2026-01-24 13:06:17.452745+03,2026-01-24 13:06:17.452746+03,,
42,16,01KFHA268GJEDP4Z5C8Z3CBEQD,GENERATE_SUBTITLES,COMPLETED,f,,,0,{"files": {"srt": "storage/users/user_000001/recordings/16/transcriptions/cache/subtitles.srt", "vtt": "storage/users/user_000001/recordings/16/transcriptions/cache/subtitles.vtt"}, "formats": ["srt", "vtt"]},2026-01-24 13:06:17.533153+03,2026-01-24 13:06:17.534925+03,2026-01-24 13:06:17.534926+03,,
43,51,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/51/transcriptions"},2026-01-26 16:18:54.133782+03,2026-01-26 16:18:54.213178+03,2026-01-26 16:18:54.213181+03,,
44,35,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/35/transcriptions"},2026-01-26 16:19:08.796701+03,2026-01-26 16:19:08.898837+03,2026-01-26 16:19:08.898842+03,,
